threshold,precision,recall,f1,f0_5
1.932630980235507e-08,0.44301221166892807,1.0,0.6140103432063939,0.4985493968544815
1.687325935415211e-07,0.4430623091710958,1.0,0.6140584593683881,0.4986001527106133
1.90619238462749e-07,0.44311241800497625,1.0,0.6141065830721003,0.4986509189024079
1.924018645472381e-07,0.44316253817441464,1.0,0.614154714319304,0.49870169543302273
2.0154383877668775e-07,0.4432126696832579,1.0,0.614202853111773,0.49875248230561636
2.2422879870177995e-07,0.44326281253535466,1.0,0.6142509994512817,0.4988032795233488
2.2671086375054528e-07,0.44331296673455534,1.0,0.6142991533396049,0.4988540870893812
2.6254159551975353e-07,0.443363132284712,1.0,0.6143473147785182,0.4989049050068762
2.6523297928071747e-07,0.4434133091896786,1.0,0.6143954837697977,0.4989557332789975
2.900362204963701e-07,0.4434634974533107,1.0,0.6144436603152199,0.49900657190891035
3.2680626443142273e-07,0.4435136970794657,1.0,0.6144918444165621,0.49905742089978095
3.3034656388476685e-07,0.44356390807200274,1.0,0.614540036075602,0.4991082802547771
3.42607074555218e-07,0.4436141304347826,1.0,0.6145882352941175,0.4991591499770678
3.7231025309853857e-07,0.443664364171668,1.0,0.6146364420738881,0.4992100300698232
3.7930556679938044e-07,0.44371460928652323,1.0,0.6146846564166929,0.4992609205362149
4.424431335860494e-07,0.4437648657832144,1.0,0.6147328783243117,0.4993118213794157
4.567657941580329e-07,0.44381513366560943,1.0,0.614781107798525,0.4993627326026001
4.945371179238537e-07,0.44386541293757786,1.0,0.6148293448411142,0.49941365420894307
5.220691131180618e-07,0.44391570360299115,1.0,0.6148775894538607,0.4994645862016215
5.799569737795833e-07,0.44396600566572236,1.0,0.6149258416385466,0.49951552858381354
5.866257156054123e-07,0.4440163191296464,1.0,0.6149741013969549,0.4995664813586984
6.475715961237489e-07,0.44406664399863993,1.0,0.6150223687308688,0.49961744452945683
6.5668700362305e-07,0.44411698027658125,1.0,0.6150706436420722,0.49966841809927054
6.646736120077978e-07,0.44416732796735064,1.0,0.6151189261323495,0.4997194020713229
7.508897180882297e-07,0.44421768707482995,1.0,0.6151672162034856,0.4997703964487984
7.789737116644235e-07,0.44426805760290283,1.0,0.6152155138572662,0.4998214012348829
7.84115907982531e-07,0.44431843955545475,1.0,0.6152638190954774,0.4998724164327634
8.052017346301742e-07,0.4443688329363729,1.0,0.6153121319199057,0.4999234420456285
8.397049370754125e-07,0.4444192377495463,1.0,0.6153604523323387,0.49997447807666784
8.735839729508647e-07,0.44446965399886557,1.0,0.6154087803345637,0.5000255245290725
8.753696762902169e-07,0.44452008168822327,1.0,0.6154571159283694,0.5000765814060346
9.027643854203283e-07,0.44457052082151366,1.0,0.6155054591155448,0.500127648710748
9.201646299759084e-07,0.4446209714026328,1.0,0.615553809897879,0.5001787264464076
9.333404936694213e-07,0.4446714334354784,1.0,0.6156021682771624,0.5002298146162096
9.489206229752604e-07,0.4447219069239501,1.0,0.6156505342551855,0.5002809132233516
9.557641844069416e-07,0.44477239187194917,1.0,0.6156989078337394,0.5003320222710324
9.854238897353183e-07,0.44482288828337874,1.0,0.6157472890146157,0.5003831417624521
9.899408066025594e-07,0.4448733961621438,1.0,0.6157956777996071,0.5004342717008123
9.956978401940667e-07,0.4449239155121508,1.0,0.6158440741905062,0.5004854120893159
1.0332602457811958e-06,0.44497444633730837,1.0,0.6158924781891063,0.5005365629311667
1.1104966111915447e-06,0.44502498864152656,1.0,0.6159408897972017,0.5005877242295702
1.1492241223522948e-06,0.4450755424287175,1.0,0.6159893090165867,0.5006388959877333
1.160583004407038e-06,0.4451261077027948,1.0,0.6160377358490566,0.5006900782088637
1.1774692229968412e-06,0.4451766844676741,1.0,0.6160861702964069,0.5007412708961709
1.180094213031298e-06,0.4452778724855097,1.0,0.6161830620429346,0.5008436876821598
1.3035072714052114e-06,0.44532848374630596,1.0,0.6162315193457061,0.5008949117872666
1.3174236084225305e-06,0.4453791065135842,1.0,0.6162799842705466,0.5009461463714008
1.3197469634785923e-06,0.44542974079126874,1.0,0.6163284568192544,0.500997391437778
1.3317840401800246e-06,0.445480386583286,1.0,0.6163769369936286,0.5010486469896158
1.3807123262641273e-06,0.4455310438935638,1.0,0.6164254247954688,0.5010999130301326
1.392671370104569e-06,0.4455817127260321,1.0,0.6164739202265753,0.501151189562548
1.3982922257089495e-06,0.44568308497326814,1.0,0.616570933983791,0.5012537741159614
1.4039069477908005e-06,0.44573378839590444,1.0,0.6166194523135032,0.5013050821434055
