threshold,precision,recall,f1,f0_5
0.0,0.44301221166892807,1.0,0.6140103432063939,0.4985493968544815
7.886435331230284e-06,0.44426805760290283,1.0,0.6152155138572662,0.4998214012348829
1.4044943820224718e-05,0.4443688329363729,1.0,0.6153121319199057,0.4999234420456285
1.4880952380952381e-05,0.4444192377495463,1.0,0.6153604523323387,0.49997447807666784
1.7605633802816902e-05,0.44446965399886557,1.0,0.6154087803345637,0.5000255245290725
2.293577981651376e-05,0.4446209714026328,1.0,0.615553809897879,0.5001787264464076
2.6595744680851064e-05,0.4446714334354784,1.0,0.6156021682771624,0.5002298146162096
3.205128205128205e-05,0.44482288828337874,1.0,0.6157472890146157,0.5003831417624521
5.050505050505051e-05,0.44497444633730837,1.0,0.6158924781891063,0.5005365629311667
5.226513355608236e-05,0.44502498864152656,1.0,0.6159408897972017,0.5005877242295702
5.248102992582489e-05,0.4450755424287175,1.0,0.6159893090165867,0.5006388959877333
5.366161616161616e-05,0.4451261077027948,1.0,0.6160377358490566,0.5006900782088637
5.458134943676692e-05,0.4451766844676741,1.0,0.6160861702964069,0.5007412708961709
5.747126436781609e-05,0.4452778724855097,1.0,0.6161830620429346,0.5008436876821598
6.097560975609756e-05,0.44532848374630596,1.0,0.6162315193457061,0.5008949117872666
6.231003039513677e-05,0.4453791065135842,1.0,0.6162799842705466,0.5009461463714008
6.69642857142857e-05,0.445480386583286,1.0,0.6163769369936286,0.5010486469896158
6.756756756756757e-05,0.4455310438935638,1.0,0.6164254247954688,0.5010999130301326
7.009345794392523e-05,0.4456323930846224,1.0,0.616522423288749,0.5012024765900833
7.874015748031496e-05,0.44573378839590444,1.0,0.6166194523135032,0.5013050821434055
8.311258278145696e-05,0.4457845033564683,1.0,0.6166679782796883,0.5013564006756411
8.728948896631822e-05,0.4458352298588985,1.0,0.6167165118841492,0.5014077297158945
8.741258741258741e-05,0.4458859679071355,1.0,0.6167650531286896,0.5014590692673936
9.159589176377641e-05,0.44593671750512176,1.0,0.6168136020151134,0.5015104193333675
9.216994382022472e-05,0.4459874786568014,1.0,0.6168621585452255,0.5015617799170464
9.302689180737963e-05,0.44603825136612024,1.0,0.6169107227208314,0.5016131510216624
0.00010147849462365591,0.44608903563702607,1.0,0.6169592945437368,0.5016645326504481
0.00010649087221095334,0.4461398314734685,1.0,0.6170078740157481,0.5017159248066383
0.00011111111111111112,0.4461906388793987,1.0,0.6170564611386723,0.5017673274934685
0.00011363636363636364,0.4462922884155371,1.0,0.6171536583444908,0.5018701644719987
0.00011518712224858424,0.44644484958979036,1.0,0.6172995115802742,0.5020244990005638
0.00011904761904761905,0.4464957264957265,1.0,0.6173481446466557,0.5020759649392589
0.000124279237760439,0.4465466149988603,1.0,0.6173967853766151,0.5021274414312811
0.0001282051282051282,0.4466484268125855,1.0,0.6174940898345154,0.502230426088294
0.0001388888888888889,0.4466993501311139,1.0,0.6175427535660809,0.5022819342597815
0.00013986013986013986,0.4467502850627138,1.0,0.6175914249684741,0.5023334529975897
0.000141595964228388,0.4468012316113582,1.0,0.6176401040435091,0.50238498230497
0.00014449677207725224,0.4468521897810219,1.0,0.6176887907930002,0.5024365221851756
0.0001485148514851485,0.44690315957568155,1.0,0.6177374852187623,0.5024880726414611
0.0001503623188405797,0.4469541409993155,1.0,0.6177861873226111,0.5025396336770818
0.000152073732718894,0.44700513405590414,1.0,0.6178348971063629,0.5025912052952948
0.00015625,0.4470561387494295,1.0,0.617883614571834,0.5026427874993585
0.00015732968369829684,0.4471071550838754,1.0,0.6179323397208422,0.5026943802925327
0.00016355140186915886,0.4471581830632276,1.0,0.6179810725552051,0.5027459836780783
0.00017752849002849,0.44720922269147356,1.0,0.618029813076741,0.5027975976592578
0.00020237030411449016,0.44726027397260276,1.0,0.6180785612872692,0.5028492222393346
0.00020833333333333332,0.44731133691060626,1.0,0.6181273171886092,0.5029008574215742
0.00021959459459459457,0.44736241150947703,1.0,0.6181760807825812,0.5029525032092426
0.00022748102992582484,0.44741349777321,1.0,0.6182248520710059,0.5030041596056077
0.00023000730538485869,0.4474645957058017,1.0,0.6182736310557045,0.5030558266139387
0.00023709363553113552,0.44751570531125073,1.0,0.6183224177384992,0.5031075042375058
0.00024132730015082957,0.44756682659355723,1.0,0.618371212121212,0.5031591924795807
0.0002448643931256713,0.4476179595567234,1.0,0.6184200142056665,0.503210891343437
0.0002482078853046595,0.4476691042047532,1.0,0.6184688239936859,0.5032626008323485
0.0002564102564102564,0.44772026054165237,1.0,0.6185176414870944,0.5033143209495915
0.0002570031712473573,0.4477714285714286,1.0,0.6185664666877172,0.5033660516984428
0.0002631578947368421,0.4479762176995198,1.0,0.6187618445988629,0.5035730810755232
0.00026486013986013986,0.4480786825251601,1.0,0.6188595798452061,0.5036766596390189
0.0002697919364586032,0.44812993251744254,1.0,0.6189084590474686,0.5037284649010028
0.0002708333333333333,0.4481811942347289,1.0,0.618957345971564,0.503780280820861
0.00027269427451310255,0.44823246768104336,1.0,0.6190062406193222,0.5038321074018827
0.0002756609450698783,0.4482837528604119,1.0,0.6190551429925739,0.5038839446473583
0.00027776203725215755,0.44838635843442437,1.0,0.6191529709228825,0.5039876511448418
0.0002777777777777778,0.44854035489410415,1.0,0.6192997708053425,0.5041432909568172
0.0002847267939433838,0.4485917105564461,1.0,0.6193487195700285,0.5041951922581974
0.0002857142857142857,0.4486430779800756,1.0,0.6193976760730376,0.5042471042471043
0.000295261758640839,0.4487458481273623,1.0,0.6194956123013677,0.5043509603007054
0.0003068705488060327,0.44879725085910654,1.0,0.6195445920303606,0.5044029043720067
0.00031080898268398267,0.4488486653683125,1.0,0.6195935795050209,0.5044548591440491
0.00031097560975609757,0.44900297960119184,1.0,0.6197405884213857,0.5046107876976972
0.0003149034306947805,0.449054441260745,1.0,0.6197896068970972,0.504662785305786
0.00031746031746031746,0.44910591471801925,1.0,0.6198386331276697,0.504714793631164
0.00031986531986531985,0.4491573999770721,1.0,0.6198876671149434,0.5047668126771451
0.00032005152807391615,0.4492088970419629,1.0,0.6199367088607595,0.5048188424470443
0.00032191480732625025,0.44931192660550456,1.0,0.6200348156353853,0.5049229341718644
0.00032388663967611336,0.44936345911228354,1.0,0.6200838806678801,0.5049749961334228
0.0003331918505942275,0.4494150034411562,1.0,0.6201329534662868,0.5050270688321732
0.000333715952066474,0.44951812758145937,1.0,0.6202311223682127,0.5051312464545408
0.00033571148005527145,0.449672902559394,1.0,0.6203784340115589,0.505287593500129
0.0003409090909090909,0.44977614510389163,1.0,0.6204766806556339,0.5053918786440328
0.0003427963764118347,0.4498277841561424,1.0,0.6205258156477669,0.5054440373600289
0.0003439042590294507,0.4498794350671719,1.0,0.6205749584224282,0.5054962068431645
0.0003515625,0.44993109784106566,1.0,0.6206241089814667,0.5055483870967742
0.00035512229726560664,0.4499827724819111,1.0,0.6206732673267327,0.5056005781241936
0.00035641320885800384,0.4500344589937974,1.0,0.620722433460076,0.5056527799287596
0.00035714285714285714,0.4501378676470588,1.0,0.6208207890983996,0.505757215882687
0.0003578565154652111,0.4502413238336015,1.0,0.620919175911252,0.5058616949852812
0.0003721582997898788,0.4503448275862069,1.0,0.621017593913457,0.5059662172632884
0.0003730910034696609,0.4503965973100356,1.0,0.6210668146152016,0.5060184946014361
0.00037655279503105585,0.4504483789376868,1.0,0.6211160431198478,0.506070782743477
0.00037757547939616486,0.4505001724732666,1.0,0.6211652794292508,0.5061230816927608
0.00038310585848786187,0.45055197792088314,1.0,0.6212145235452672,0.5061753914526381
0.0003846153846153846,0.45060379528464634,1.0,0.6212637754697534,0.5062277120264613
0.00038979076479076473,0.45065562456866803,1.0,0.621313035204567,0.5062800434175841
0.000390990990990991,0.450707465777062,1.0,0.6213623027515661,0.5063323856293616
0.00039707327344188666,0.45075931891394383,1.0,0.621411578112609,0.5063847386651501
0.00040025252525252526,0.45091494993670156,1.0,0.621559451098596,0.5065418627501681
0.00040091717393351157,0.4510187636698515,1.0,0.6216580721935739,0.5066466663218331
0.0004047538589652301,0.45107068846419524,1.0,0.6217073944779434,0.5066990843722518
0.0004061624649859943,0.45117457392906496,1.0,0.6218060625297572,0.5068039530190924
0.00040703310186394876,0.45122653460785445,1.0,0.6218554083009284,0.506856403622251
0.0004139194139194139,0.4512785072563925,1.0,0.6219047619047618,0.5069088650830617
0.00041443308058543467,0.45138248847926266,1.0,0.6220034926178759,0.5070138205911279
0.00041666666666666664,0.4514344970618735,1.0,0.6220528697308882,0.5070663146451313
0.0004187352245862884,0.4515385501901579,1.0,0.6221516474791584,0.5071713353699581
0.0004208351457155285,0.45164265129682996,1.0,0.6222504566028746,0.5072763996064011
0.0004278382907415165,0.45169471985243254,1.0,0.622299872935197,0.50732894804993
0.0004325749167591565,0.4517988929889299,1.0,0.6223987291501192,0.5074340776045174
0.00043582712203804657,0.451850997578134,1.0,0.6224481690364604,0.507486658722346
0.0004375358643553916,0.4519031141868512,1.0,0.6224976167778836,0.5075392507383802
0.0004379445375525204,0.451955242819241,1.0,0.6225470723762612,0.5075918536560087
0.00044455544455544456,0.4520073834794647,1.0,0.6225965358334657,0.5076444674786214
0.0004457572502685284,0.4520595361716857,1.0,0.6226460071513706,0.5076970922096097
0.0004542119565217391,0.45211170090006925,1.0,0.62269548633185,0.5077497278523664
0.0004629518780770697,0.45216387766878247,1.0,0.6227449733767783,0.5078023744102856
0.0004658385093167702,0.45221606648199447,1.0,0.6227944682880305,0.5078550318867632
0.0004669370775993992,0.45226826734387626,1.0,0.6228439710674827,0.5079077002851957
0.0004722222222222222,0.4523204802586008,1.0,0.6228934817170112,0.507960379608982
0.0004804188226435494,0.4523727052303429,1.0,0.6229430002384927,0.5080130698615217
0.0004887390828304433,0.45242494226327945,1.0,0.622992526633805,0.5080657710462161
0.0004935000018844671,0.4524771913615891,1.0,0.6230420609048263,0.5081184831664678
0.000497002997002997,0.4525817257710523,1.0,0.623141153081511,0.5082239402272609
0.0004987414640668066,0.452634011090573,1.0,0.6231907109909336,0.5082766851746148
0.0005033253380396021,0.45268630849220104,1.0,0.6232402767835838,0.5083294410711506
0.0005104959352611456,0.4527909395585346,1.0,0.6233394320260918,0.5084349857254088
0.0005153106308547688,0.45284327323162277,1.0,0.6233890214797136,0.5084877744899549
0.0005262826961770624,0.4528956190035834,1.0,0.623438618824091,0.5085405742173303
0.000531547619047619,0.4530003468609088,1.0,0.6235378371926474,0.5086462065742328
0.0005318593063629952,0.4530527289546716,1.0,0.6235874582205952,0.5086990392105947
0.0005397708849720378,0.4531051231641032,1.0,0.6236370871468364,0.5087518828234561
0.0005416600127754711,0.45320994794679004,1.0,0.6237363687017432,0.5088576029923633
0.0005430527821911317,0.453262378528459,1.0,0.6237860213341824,0.5089104795552554
0.0005437853107344633,0.45331482124262407,1.0,0.6238356818724623,0.5089633671083399
0.0005542833902208901,0.45336727609349686,1.0,0.6238853503184714,0.5090162656550434
0.0005647465421913372,0.4534722222222222,1.0,0.6239847109412326,0.5091220957430219
0.0005654477030222649,0.4535247135085079,1.0,0.6240344031217647,0.5091750272911576
0.0005704545454545454,0.45357721694836767,1.0,0.6240841032175852,0.5092279698466337
0.0005732461661800916,0.4536822603056971,1.0,0.6241835271626573,0.5093338879933441
0.0005829797545422667,0.4537348002316155,1.0,0.6242332510156935,0.5093868635914505
0.0005845942165869692,0.45378735232800554,1.0,0.624282982791587,0.5094398502106413
0.0005909016145666631,0.4538399165990965,1.0,0.6243327224922317,0.5094928478543563
0.0005940370761179415,0.45389249304911955,1.0,0.624382470119522,0.5095458565260366
0.0005948231637395136,0.45399768250289685,1.0,0.6244819891616193,0.5096519069670639
0.0006038187691413498,0.45405029551512344,1.0,0.6245317605802183,0.5097049487433003
0.000613746157224418,0.4541029207232267,1.0,0.6245815399330464,0.5097580015612803
0.0006179549114331723,0.45415555813144776,1.0,0.6246313272220008,0.5098110654244521
0.0006188595630521346,0.4543135435992579,1.0,0.6247807367246053,0.5099703233196231
0.0006234496733396219,0.4543662298504001,1.0,0.6248305557770513,0.5100234313980735
0.000627126507887411,0.45441892832289493,1.0,0.6248803827751196,0.5100765505389783
0.0006338937621832358,0.45447163902099524,1.0,0.6249302177207113,0.5101296807457946
0.0006355270887029307,0.4545243619489559,1.0,0.6249800606157282,0.5101828220219803
0.0006381851214277514,0.4545770971110338,1.0,0.6250299114620722,0.5102359743709955
0.0006402583986550535,0.4546826041545782,1.0,0.6251296370163543,0.5103423123013598
0.0006450071310268679,0.45473537604456826,1.0,0.6251795117280996,0.5103954978896358
0.000647134590216841,0.4547881601857226,1.0,0.6252293943987872,0.5104486945645943
0.0006496931714323019,0.45494658615884814,1.0,0.6253790901835594,0.5106083511442423
0.0006537603021978022,0.4549994193473464,1.0,0.6254290047090749,0.5106615922006151
0.0006545738487664203,0.45510512254617264,1.0,0.6255288576674384,0.5107681076289305
0.0006607134254193078,0.45515799256505574,1.0,0.6255787961041034,0.5108213820078227
0.000662334618995277,0.45521087486929246,1.0,0.62562874251497,0.5108746675011736
0.0006640637733315079,0.4552637694631652,1.0,0.6256786969019482,0.5109279641124616
0.0006666600127754711,0.45531667635095874,1.0,0.6257286592669489,0.5109812718451666
0.0006678926794598436,0.45536959553695955,1.0,0.6257786296118831,0.5110345907027704
0.0006696601354620222,0.4554225270254562,1.0,0.625828607938663,0.5110879206887555
0.0006744542465201237,0.45547547082073936,1.0,0.6258785942492012,0.5111412618066065
0.0006756796690307329,0.45558139534883724,1.0,0.6259785908292059,0.5112479774518504
0.0006830065359477125,0.45563437609024304,1.0,0.6260286011025006,0.5113013519862192
0.0007014455484740624,0.4556873691556176,1.0,0.62607861936721,0.5113547376664056
0.0007048224695283519,0.45574037454926136,1.0,0.6261286456252496,0.5114081344959014
0.0007068366215578174,0.45579339227547694,1.0,0.626178679878536,0.5114615424781996
0.0007183842708290659,0.4558464223385689,1.0,0.6262287221289858,0.5115149616167947
0.0007198418427771436,0.4558994647428438,1.0,0.6262787723785166,0.5115683919151826
0.0007228663996129985,0.4559525194926103,1.0,0.6263288306290465,0.5116218333768607
0.0007261425362332516,0.45600558659217877,1.0,0.6263788968824939,0.5116752860053283
0.0007305841921198961,0.4560586660458619,1.0,0.6264289711407787,0.5117287498040854
0.0007509786253482798,0.4561648620328327,1.0,0.6265291436795395,0.5118357109264775
0.0007535440857142545,0.4562179785747555,1.0,0.6265792419638574,0.5118892082571205
0.0007606435832760071,0.45632424877707894,1.0,0.6266794625719769,0.5119962364748314
0.0007642997932000415,0.456430568499534,1.0,0.6267797152455608,0.5121033094578344
0.000764764901038413,0.4564837469416288,1.0,0.6268298536117111,0.512156862745098
0.0007657910834598722,0.45653693777674204,1.0,0.62688,0.5122104272342206
0.0007692307692307692,0.45659014100920636,1.0,0.626930154412353,0.5122640029287171
0.0007713121090730198,0.45664335664335665,1.0,0.6269803168506961,0.5123175898321043
0.0007738095238095238,0.4566965846835295,1.0,0.627030487316956,0.5123711879478997
0.0007777777777777778,0.45674982513406387,1.0,0.6270806658130602,0.5124247972796233
0.0007783607199564582,0.4568030779993005,1.0,0.6271308523409365,0.5124784178307958
0.0007813242137925659,0.45690962099125365,1.0,0.6272312494997199,0.5125856926055785
0.0007918565100960745,0.456962911126662,1.0,0.627281460134486,0.512639346836238
0.0008148004831112846,0.45701621369415607,1.0,0.6273316788087423,0.512693012300445
0.0008264301897479467,0.4570695286980868,1.0,0.6273819055244195,0.5127466890017275
0.0008276980339889828,0.4571228561428071,1.0,0.6274321402834494,0.5128003769436156
0.0008320327893666829,0.4571761960326721,1.0,0.6274823830877643,0.5128540761296403
0.0008364308194872979,0.4573362904167153,1.0,0.62763315979175,0.5130152411878699
0.0008394536497984774,0.4573896801307495,1.0,0.6276834347965395,0.5130689853857839
0.0008431085043988269,0.4574430823117338,1.0,0.6277337178562845,0.5131227408455131
0.0008490695128626163,0.4574964969640355,1.0,0.627784008972921,0.5131765075705979
0.0008529711725081288,0.45754992409202383,1.0,0.6278343081483856,0.5132302855645795
0.0008631723393505123,0.45771028037383177,1.0,0.6279852540471229,0.5133916871953457
0.0008637403295742824,0.45776375744830006,1.0,0.6280355854772782,0.5134455103003617
0.0008673245614035088,0.45781724702033183,1.0,0.6280859249759538,0.5134993446920052
0.0008740865814114085,0.4579242636746143,1.0,0.6281866281866282,0.5136070473493787
0.00087615622557591,0.4579777907656341,1.0,0.6282369919025094,0.513660915622214
0.0008790985565433515,0.4580313303717559,1.0,0.6282873636946761,0.5137147951958881
0.0008812188265814105,0.45808488249736934,1.0,0.628337743565071,0.5137686860739575
0.0008861767739403126,0.4581920243246404,1.0,0.6284385275483199,0.5138765017575153
0.0008944563260187649,0.45824561403508773,1.0,0.6284889316650626,0.5139304265701243
0.0008958333333333333,0.4584064584064584,1.0,0.6286401925391094,0.514092268934026
