threshold,fpr,recall
0.99924916,0.0,0.0007656967840735069
0.99920684,0.0,0.001276161306789178
0.99917775,0.0,0.0017866258295048494
0.99887913,0.0,0.002297090352220521
0.99875104,0.0,0.0030627871362940277
0.99770004,0.0,0.00408371618172537
0.9976071,0.0,0.004594180704441042
0.99759454,0.0,0.005104645227156712
0.99750394,0.0,0.006125574272588055
0.9969855,0.0,0.007656967840735069
0.99693537,0.0,0.008677896886166412
0.99686486,0.0,0.008933129147524248
0.99659735,0.0,0.01046452271567126
0.99606293,0.0,0.01174068402246044
0.99547404,0.0,0.01225114854517611
0.99492055,0.0,0.012761613067891782
0.9949195,0.0,0.013782542113323124
0.9939366,0.0,0.014803471158754467
0.99308634,0.0,0.015569167942827974
0.9926508,0.0,0.016590096988259317
0.99254483,0.0,0.017866258295048495
0.9918262,0.0,0.018631955079122003
0.9917746,0.0,0.019397651863195507
0.9916467,0.0,0.019908116385911178
0.9914659,0.0,0.020673813169984685
0.99064237,0.0,0.021184277692700357
0.99038345,0.0,0.024757529351710057
0.99025935,0.0,0.02526799387442573
0.9902014,0.0,0.025523226135783564
0.98961955,0.0,0.02628892291985707
0.98940814,0.0,0.02679938744257274
0.9893104,0.0,0.027820316488004083
0.9889236,0.0,0.028841245533435426
0.9886339,0.0,0.02909647779479326
0.98856467,0.0,0.029606942317508933
0.9879503,0.0,0.030627871362940276
0.98676074,0.0,0.03164880040837162
0.98674774,0.0,0.03241449719244512
0.9866295,0.0,0.033435426237876466
0.9861785,0.0,0.033690658499234305
0.9861086,0.0,0.03445635528330781
0.9821539,0.0,0.036753445635528334
0.982021,0.0,0.037263910158244005
0.98107153,0.0,0.039305768249106685
0.9809522,0.0,0.039816232771822356
0.9808467,0.0,0.040071465033180195
0.98076725,0.0,0.04109239407861154
0.9804921,0.0,0.04160285860132721
0.97992045,0.0,0.042368555385400714
0.9797054,0.0,0.04262378764675855
0.9794566,0.0,0.043134252169474224
0.9791955,0.0,0.043644716692189896
0.9788067,0.0,0.04415518121490557
0.97855216,0.0,0.0444104134762634
0.97791684,0.0,0.04492087799897907
0.9765534,0.0,0.045686574783052575
0.97630364,0.0,0.046197039305768246
0.9760943,0.0,0.046452271567126086
0.9758242,0.0,0.0479836651352731
0.9753542,0.0,0.04849412965798877
0.97443885,0.0,0.04900459418070444
0.97405076,0.0,0.04977029096477795
0.9730723,0.0,0.05028075548749362
0.9730313,0.00020300446609825416,0.052322613578356304
0.9726863,0.0004060089321965083,0.052833078101071976
0.97267634,0.0006090133982947625,0.05538540071465033
0.97199047,0.0006090133982947625,0.055895865237366005
0.97151583,0.0006090133982947625,0.056406329760081676
0.97083324,0.0006090133982947625,0.05717202654415518
0.9705696,0.0006090133982947625,0.05997958141909137
0.97037256,0.0006090133982947625,0.06329760081674324
0.9700233,0.0006090133982947625,0.06355283307810107
0.9696418,0.0008120178643930166,0.06508422664624809
0.96920043,0.0008120178643930166,0.06559469116896376
0.96879,0.0008120178643930166,0.0681470137825421
0.96857786,0.0008120178643930166,0.06865747830525779
0.9677182,0.0008120178643930166,0.0694231750893313
0.96752477,0.0008120178643930166,0.07018887187340479
0.9672474,0.0008120178643930166,0.07146503318019398
0.96714395,0.0008120178643930166,0.07248596222562532
0.96700424,0.0008120178643930166,0.07452782031648801
0.9669575,0.0008120178643930166,0.07478305257784584
0.96681577,0.0008120178643930166,0.07580398162327719
0.96663576,0.0008120178643930166,0.07605921388463502
0.9661311,0.0010150223304912708,0.07708014293006636
0.9657832,0.0010150223304912708,0.07963246554364471
0.9657119,0.0010150223304912708,0.08141909137314957
0.9645407,0.0010150223304912708,0.08269525267993874
0.9644712,0.0010150223304912708,0.08422664624808576
0.9643882,0.0010150223304912708,0.0860132720775906
0.9642758,0.0010150223304912708,0.08626850433894845
0.9638524,0.0010150223304912708,0.08703420112302195
0.96381176,0.002233049127080796,0.09188361408882083
0.9635297,0.002233049127080796,0.09213884635017866
0.9629487,0.002233049127080796,0.09290454313425217
0.96281385,0.002233049127080796,0.09315977539561
0.96188843,0.002233049127080796,0.09392547217968351
0.9618469,0.002233049127080796,0.09418070444104135
0.9617081,0.00243605359317905,0.09494640122511486
0.9617003,0.00243605359317905,0.09571209800918837
0.9606571,0.00243605359317905,0.09622256253190403
0.9601963,0.00243605359317905,0.09673302705461971
0.95974827,0.002639058059277304,0.09673302705461971
0.95962733,0.002639058059277304,0.09775395610005104
0.95926416,0.002639058059277304,0.09851965288412455
0.9589834,0.002639058059277304,0.09928534966819806
0.9584225,0.002639058059277304,0.1003062787136294
0.9566275,0.002639058059277304,0.10132720775906075
0.9559543,0.002639058059277304,0.10209290454313426
0.9557196,0.0028420625253755584,0.10234813680449209
0.95545924,0.0028420625253755584,0.10260336906584992
0.95542157,0.0028420625253755584,0.1031138335885656
0.9544821,0.0028420625253755584,0.10336906584992343
0.9542138,0.0028420625253755584,0.10438999489535478
0.95417285,0.0028420625253755584,0.10694231750893313
0.9527501,0.0028420625253755584,0.10796324655436447
0.95188,0.0028420625253755584,0.1082184788157223
0.9516566,0.0028420625253755584,0.10974987238386932
0.9512299,0.0028420625253755584,0.11000510464522716
0.9509188,0.0028420625253755584,0.11128126595201633
0.95057094,0.0028420625253755584,0.11179173047473201
0.94990134,0.0028420625253755584,0.11485451761102604
0.94948274,0.0028420625253755584,0.1153649821337417
0.94936895,0.0028420625253755584,0.11587544665645738
0.9491089,0.0028420625253755584,0.11995916283818274
0.94874567,0.004263093788063338,0.14344053088310363
0.9486843,0.004263093788063338,0.1439509954058193
0.94840604,0.004669102720259845,0.1495661051556917
0.9477786,0.004669102720259845,0.1498213374170495
0.9471006,0.004669102720259845,0.15211842776927004
0.946874,0.005278116118554608,0.15696784073506892
0.94679594,0.005278116118554608,0.15747830525778458
0.9467767,0.005278116118554608,0.16079632465543645
0.94644284,0.005278116118554608,0.1610515569167943
0.9457178,0.006293138449045879,0.1855538540071465
0.9454329,0.006293138449045879,0.1860643185298622
0.94536674,0.006293138449045879,0.18683001531393567
0.9452025,0.006496142915144133,0.1919346605410924
0.94486535,0.006496142915144133,0.19218989280245022
0.94398165,0.007714169711733658,0.21898928024502298
0.9438348,0.007714169711733658,0.22154160285860133
0.9435619,0.007714169711733658,0.222052067381317
0.9431636,0.007714169711733658,0.22256253190403266
0.94313294,0.00832318311002842,0.22741194486983154
0.94265866,0.009947218838814454,0.25370086778968864
0.94159305,0.010150223304912708,0.256253190403267
0.9406758,0.010150223304912708,0.25676365492598263
0.9404012,0.010962241169305725,0.2835630423685554
0.9400335,0.010962241169305725,0.28483920367534454
0.9396563,0.010962241169305725,0.28586013272077593
0.93863654,0.010962241169305725,0.28662582950484944
0.9378674,0.010962241169305725,0.2937723328228688
0.9375162,0.010962241169305725,0.2947932618683001
0.9373308,0.010962241169305725,0.29606942317508933
