threshold,precision,recall,f1,f0_5
2.4407587e-05,0.44301221166892807,1.0,0.6140103432063939,0.4985493968544815
3.0745443e-05,0.4430623091710958,1.0,0.6140584593683881,0.4986001527106133
3.116483e-05,0.44311241800497625,1.0,0.6141065830721003,0.4986509189024079
3.151982e-05,0.44316253817441464,1.0,0.614154714319304,0.49870169543302273
3.250034e-05,0.4432126696832579,1.0,0.614202853111773,0.49875248230561636
3.2703265e-05,0.44326281253535466,1.0,0.6142509994512817,0.4988032795233488
3.318247e-05,0.44331296673455534,1.0,0.6142991533396049,0.4988540870893812
3.3187218e-05,0.443363132284712,1.0,0.6143473147785182,0.4989049050068762
3.3509215e-05,0.4434133091896786,1.0,0.6143954837697977,0.4989557332789975
3.4310575e-05,0.4434634974533107,1.0,0.6144436603152199,0.49900657190891035
3.4827415e-05,0.4435136970794657,1.0,0.6144918444165621,0.49905742089978095
3.619367e-05,0.44356390807200274,1.0,0.614540036075602,0.4991082802547771
3.645016e-05,0.4436141304347826,1.0,0.6145882352941175,0.4991591499770678
3.756656e-05,0.443664364171668,1.0,0.6146364420738881,0.4992100300698232
3.798016e-05,0.44371460928652323,1.0,0.6146846564166929,0.4992609205362149
3.9941693e-05,0.4437648657832144,1.0,0.6147328783243117,0.4993118213794157
4.195745e-05,0.44381513366560943,1.0,0.614781107798525,0.4993627326026001
4.3628108e-05,0.44386541293757786,1.0,0.6148293448411142,0.49941365420894307
4.4045853e-05,0.44391570360299115,1.0,0.6148775894538607,0.4994645862016215
4.424907e-05,0.44396600566572236,1.0,0.6149258416385466,0.49951552858381354
4.7648282e-05,0.4440163191296464,1.0,0.6149741013969549,0.4995664813586984
5.058419e-05,0.44406664399863993,1.0,0.6150223687308688,0.49961744452945683
5.0688683e-05,0.44411698027658125,1.0,0.6150706436420722,0.49966841809927054
5.1098792e-05,0.44416732796735064,1.0,0.6151189261323495,0.4997194020713229
5.206311e-05,0.44421768707482995,1.0,0.6151672162034856,0.4997703964487984
5.3695658e-05,0.44426805760290283,1.0,0.6152155138572662,0.4998214012348829
5.748131e-05,0.44431843955545475,1.0,0.6152638190954774,0.4998724164327634
5.759582e-05,0.4443688329363729,1.0,0.6153121319199057,0.4999234420456285
5.81182e-05,0.4444192377495463,1.0,0.6153604523323387,0.49997447807666784
5.8235317e-05,0.44446965399886557,1.0,0.6154087803345637,0.5000255245290725
5.8242204e-05,0.44452008168822327,1.0,0.6154571159283694,0.5000765814060346
5.834115e-05,0.44457052082151366,1.0,0.6155054591155448,0.500127648710748
5.842494e-05,0.4446209714026328,1.0,0.615553809897879,0.5001787264464076
5.913248e-05,0.4446714334354784,1.0,0.6156021682771624,0.5002298146162096
6.127256e-05,0.4447219069239501,1.0,0.6156505342551855,0.5002809132233516
6.2094536e-05,0.44477239187194917,1.0,0.6156989078337394,0.5003320222710324
6.274765e-05,0.44482288828337874,1.0,0.6157472890146157,0.5003831417624521
6.36056e-05,0.4448733961621438,1.0,0.6157956777996071,0.5004342717008123
6.392051e-05,0.4449239155121508,1.0,0.6158440741905062,0.5004854120893159
6.397344e-05,0.44497444633730837,1.0,0.6158924781891063,0.5005365629311667
6.448567e-05,0.4450755424287175,1.0,0.6159893090165867,0.5006388959877333
6.561514e-05,0.4451261077027948,1.0,0.6160377358490566,0.5006900782088637
6.5638604e-05,0.4451766844676741,1.0,0.6160861702964069,0.5007412708961709
6.5688386e-05,0.4452778724855097,1.0,0.6161830620429346,0.5008436876821598
6.628144e-05,0.44532848374630596,1.0,0.6162315193457061,0.5008949117872666
6.769603e-05,0.4453791065135842,1.0,0.6162799842705466,0.5009461463714008
6.79129e-05,0.44542974079126874,1.0,0.6163284568192544,0.500997391437778
6.8684494e-05,0.445480386583286,1.0,0.6163769369936286,0.5010486469896158
6.878812e-05,0.4455310438935638,1.0,0.6164254247954688,0.5010999130301326
6.904225e-05,0.4455817127260321,1.0,0.6164739202265753,0.501151189562548
6.943293e-05,0.4456323930846224,1.0,0.616522423288749,0.5012024765900833
6.980418e-05,0.44568308497326814,1.0,0.616570933983791,0.5012537741159614
7.060203e-05,0.44573378839590444,1.0,0.6166194523135032,0.5013050821434055
7.061893e-05,0.4457845033564683,1.0,0.6166679782796883,0.5013564006756411
7.087793e-05,0.4458352298588985,1.0,0.6167165118841492,0.5014077297158945
7.111048e-05,0.4458859679071355,1.0,0.6167650531286896,0.5014590692673936
7.132189e-05,0.44593671750512176,1.0,0.6168136020151134,0.5015104193333675
7.155679e-05,0.4459874786568014,1.0,0.6168621585452255,0.5015617799170464
7.1568866e-05,0.44603825136612024,1.0,0.6169107227208314,0.5016131510216624
7.1969094e-05,0.4461398314734685,1.0,0.6170078740157481,0.5017159248066383
7.209123e-05,0.4461906388793987,1.0,0.6170564611386723,0.5017673274934685
7.234625e-05,0.44624145785876995,1.0,0.6171050559143173,0.5018187407141759
7.264047e-05,0.4462922884155371,1.0,0.6171536583444908,0.5018701644719987
7.266471e-05,0.4463431305536569,1.0,0.6172022684310019,0.5019215987701768
7.3667456e-05,0.4463939842770878,1.0,0.6172508861756597,0.5019730436119509
7.411228e-05,0.44644484958979036,1.0,0.6172995115802742,0.5020244990005638
7.424151e-05,0.4464957264957265,1.0,0.6173481446466557,0.5020759649392589
7.427451e-05,0.4465466149988603,1.0,0.6173967853766151,0.5021274414312811
7.451642e-05,0.4465975151031574,1.0,0.6174454337719644,0.502178928479877
7.478987e-05,0.4466484268125855,1.0,0.6174940898345154,0.502230426088294
7.488192e-05,0.4466993501311139,1.0,0.6175427535660809,0.5022819342597815
7.551721e-05,0.4467502850627138,1.0,0.6175914249684741,0.5023334529975897
7.572113e-05,0.4468012316113582,1.0,0.6176401040435091,0.50238498230497
7.633579e-05,0.4468521897810219,1.0,0.6176887907930002,0.5024365221851756
7.636644e-05,0.44690315957568155,1.0,0.6177374852187623,0.5024880726414611
7.643077e-05,0.4469541409993155,1.0,0.6177861873226111,0.5025396336770818
