threshold,fpr,recall
0.997961025811502,0.0,0.0007656967840735069
0.9970382422558682,0.0,0.0017866258295048494
0.9968893609322497,0.0,0.003318019397651863
0.9961329129705916,0.0,0.005615109749872384
0.9956316291694537,0.0,0.007656967840735069
0.9954853964234034,0.0,0.007912200102092905
0.995405273495654,0.0,0.008422664624808576
0.9938769261099405,0.0,0.009188361408882083
0.993442032460232,0.00020300446609825416,0.011230219499744768
0.9930744900654254,0.00020300446609825416,0.01174068402246044
0.9930499862043579,0.00020300446609825416,0.012506380806533947
0.9924564656520883,0.0004060089321965083,0.015058703420112302
0.9923990702978803,0.0004060089321965083,0.015313935681470138
0.9921107452369096,0.0004060089321965083,0.016079632465543645
0.9919951601249448,0.0004060089321965083,0.01633486472690148
0.9919523800784174,0.0004060089321965083,0.018887187340479835
0.9917633284301266,0.0004060089321965083,0.01914241960183767
0.9905289166339978,0.0004060089321965083,0.020163348647269014
0.990284626721307,0.0004060089321965083,0.020673813169984685
0.9902819725403311,0.0004060089321965083,0.021949974476773864
0.9902532059253971,0.0004060089321965083,0.0222052067381317
0.9902520558048333,0.0004060089321965083,0.023226135783563043
0.9902261439525886,0.0004060089321965083,0.02348136804492088
0.9899107690628426,0.0004060089321965083,0.025012761613067893
0.989731599739622,0.0004060089321965083,0.02526799387442573
0.9895717866897882,0.0004060089321965083,0.026544155181214904
0.9894733841828384,0.0004060089321965083,0.027054619703930576
0.9893761532651884,0.0004060089321965083,0.02730985196528841
0.9891273293685349,0.0004060089321965083,0.027820316488004083
0.9889771308597086,0.0004060089321965083,0.02807554874936192
0.9887289840997,0.0006090133982947625,0.031138335885655948
0.988245110148407,0.0006090133982947625,0.03190403266972945
0.988217923748028,0.0006090133982947625,0.032924961715160794
0.9881733223856115,0.0006090133982947625,0.033435426237876466
0.9881197661320898,0.0006090133982947625,0.03445635528330781
0.9880581394146307,0.0006090133982947625,0.03522205206738132
0.9877638670327353,0.0006090133982947625,0.03624298111281266
0.9876549950288598,0.0006090133982947625,0.036753445635528334
0.987489443293236,0.0006090133982947625,0.037263910158244005
0.9873853847692896,0.0006090133982947625,0.03854007146503318
0.987347999905998,0.0006090133982947625,0.03879530372639101
0.9871609145160066,0.0006090133982947625,0.039561000510464524
0.9868285383246672,0.0006090133982947625,0.039816232771822356
0.9868035266676765,0.0006090133982947625,0.04032669729453803
0.9862217459664631,0.0006090133982947625,0.04058192955589587
0.9860576842284969,0.0006090133982947625,0.04134762633996937
0.9860522828219384,0.0006090133982947625,0.04185809086268504
0.9859398785880156,0.0006090133982947625,0.045941807044410414
0.9856237566634456,0.0006090133982947625,0.0479836651352731
0.9855435263670921,0.0006090133982947625,0.05028075548749362
0.985484353181072,0.0006090133982947625,0.05104645227156713
0.985369927350382,0.0008120178643930166,0.05359877488514548
0.9852821219245415,0.0008120178643930166,0.05461970393057682
