threshold,fpr,recall
0.9455971701237246,0.0,0.001276161306789178
0.9453226167987673,0.0,0.002297090352220521
0.944980699847998,0.0,0.0030627871362940277
0.9448656475339187,0.0,0.00408371618172537
0.9448475005572341,0.0,0.006636038795303726
0.9448359415158606,0.0,0.0071465033180193975
0.9447848485320279,0.0,0.007912200102092905
0.9444408862315553,0.0,0.009188361408882083
0.944084556343276,0.0,0.009698825931597753
0.9435780599908647,0.0,0.015058703420112302
0.9435422065126646,0.0,0.016079632465543645
0.9434097886091246,0.0,0.01633486472690148
0.9433322107784475,0.00020300446609825416,0.02092904543134252
0.9432634948288318,0.00020300446609825416,0.021184277692700357
0.9431681244157933,0.00020300446609825416,0.022970903522205207
0.9430045167805575,0.00020300446609825416,0.02348136804492088
0.9429967583447455,0.00020300446609825416,0.023736600306278714
0.942507807770444,0.00020300446609825416,0.02807554874936192
0.9424310216550875,0.0004060089321965083,0.03139356814701378
0.9424181624123765,0.0004060089321965083,0.033435426237876466
0.9421689357027647,0.0004060089321965083,0.03445635528330781
0.9419870172194206,0.0004060089321965083,0.03496681980602348
0.9419048444380405,0.0004060089321965083,0.03522205206738132
0.9415763383652931,0.0004060089321965083,0.03573251659009699
0.9413044769002612,0.0004060089321965083,0.036753445635528334
0.9412804021268038,0.0004060089321965083,0.03751914241960184
0.9412398078692746,0.0004060089321965083,0.03777437468095967
0.941199903796852,0.0004060089321965083,0.039561000510464524
0.9410703971503867,0.0004060089321965083,0.04160285860132721
0.9409357030474347,0.0004060089321965083,0.04389994895354773
0.9409246344625458,0.0004060089321965083,0.04543134252169474
0.9407623588004564,0.0006090133982947625,0.05028075548749362
0.9407361831647654,0.0006090133982947625,0.05053598774885146
0.9404799360194461,0.0006090133982947625,0.05104645227156713
0.9404399978045443,0.0008120178643930166,0.052833078101071976
0.9403878095346623,0.0010150223304912708,0.05410923940786115
0.9402862147395888,0.0010150223304912708,0.05436447166921899
0.9400066803150411,0.0010150223304912708,0.05487493619193466
0.9400001806621309,0.0010150223304912708,0.055130168453292494
0.9397856253587644,0.0010150223304912708,0.05615109749872384
0.9397670620998668,0.001218026796589525,0.058703420112302195
0.9397357581747018,0.001218026796589525,0.05997958141909137
0.9394862648617409,0.001218026796589525,0.061510974987238384
0.9394844352595667,0.001218026796589525,0.061766207248596224
0.9394310724997501,0.001218026796589525,0.062276671771311895
0.9394203826334312,0.001218026796589525,0.06253190403266973
0.9381051707879101,0.001218026796589525,0.06533945890760592
0.9379211909249193,0.001218026796589525,0.06610515569167943
0.937733709831071,0.001218026796589525,0.06789178152118427
0.9375659742259895,0.001218026796589525,0.07197549770290965
0.9375018452304781,0.001218026796589525,0.07529351710056151
0.9374572435556683,0.001218026796589525,0.07580398162327719
0.9369368589745997,0.001218026796589525,0.07631444614599285
0.9366281069037887,0.001218026796589525,0.07963246554364471
0.9366054129129889,0.001218026796589525,0.08039816232771822
0.936605221420002,0.00243605359317905,0.08831036242981113
0.9365515121930494,0.00243605359317905,0.0888208269525268
0.9363658089032167,0.00243605359317905,0.08907605921388463
0.9360820093620082,0.00243605359317905,0.09009698825931597
0.9359544155983809,0.00243605359317905,0.09213884635017866
0.9359089355394561,0.00243605359317905,0.09367023991832568
0.935857516105255,0.002639058059277304,0.09367023991832568
0.9357669565107546,0.002639058059277304,0.09571209800918837
0.9355094376271159,0.002639058059277304,0.09647779479326186
0.9354805657376154,0.002639058059277304,0.09749872383869321
0.9354503120210297,0.002639058059277304,0.09775395610005104
0.9353494117708273,0.002639058059277304,0.09826442062276672
0.9343877735910223,0.002639058059277304,0.09877488514548238
0.934006776385044,0.002639058059277304,0.10209290454313426
0.9335847279805226,0.002639058059277304,0.10260336906584992
0.9332071606727325,0.002639058059277304,0.10285860132720775
0.9331719791801896,0.002639058059277304,0.1038795303726391
0.9327924370170145,0.002639058059277304,0.10438999489535478
0.9327314643797114,0.002639058059277304,0.10719754977029096
0.9322407343390703,0.002639058059277304,0.10923940786115365
0.9319498003171378,0.002639058059277304,0.10949464012251149
0.9318518483093539,0.002639058059277304,0.11026033690658499
0.9318175365853358,0.002639058059277304,0.11128126595201633
0.9317835197308598,0.002639058059277304,0.11179173047473201
0.9317016096954548,0.002639058059277304,0.11357835630423685
0.931498199883951,0.002639058059277304,0.11459928534966819
0.9313697350566302,0.002639058059277304,0.11613067891781521
0.9312165940622649,0.002639058059277304,0.11740684022460439
0.9305597586480198,0.003857084855866829,0.12787136294027565
0.9302697567829316,0.003857084855866829,0.12914752424706483
0.9301067595094468,0.003857084855866829,0.13016845329249618
0.9298523142030831,0.003857084855866829,0.13067891781521185
0.9297085646039435,0.004060089321965083,0.13067891781521185
0.9295903832346445,0.004060089321965083,0.13144461459928536
0.9294478127213766,0.004263093788063338,0.13144461459928536
0.929390869418426,0.004263093788063338,0.13757018887187342
0.92937693131154,0.004263093788063338,0.14216436957631445
0.9292826746572872,0.004263093788063338,0.14241960183767227
0.9289288451897693,0.004263093788063338,0.14293006636038796
0.9287867985680164,0.004263093788063338,0.14318529862174578
0.9284106128169486,0.004466098254161592,0.1447166921898928
0.9281672844084551,0.004466098254161592,0.14522715671260847
0.9280775695351435,0.006496142915144133,0.18785094435936703
0.9279722573030647,0.006496142915144133,0.1883614088820827
0.9279004634616191,0.006496142915144133,0.18861664114344054
0.9278506961293999,0.00832318311002842,0.2299642674834099
0.9278142892782539,0.008729192042224929,0.23098519652884125
0.9274235824130296,0.008729192042224929,0.23175089331291476
0.9274022189141501,0.008729192042224929,0.23226135783563043
0.927215088917105,0.010962241169305725,0.27616130678917816
0.927040661492459,0.010962241169305725,0.2771822358346095
0.9268489563202245,0.010962241169305725,0.2774374680959673
0.9267436146962051,0.010962241169305725,0.28177641653905056
0.9266484161967327,0.010962241169305725,0.2822868810617662
0.9265967536316263,0.011165245635403978,0.2843287391526289
0.9263372272096091,0.011165245635403978,0.28534966819806024
0.9256010796363235,0.011165245635403978,0.28586013272077593
0.9253252108317458,0.011165245635403978,0.28637059724349156
0.9252723922886,0.011165245635403978,0.28688106176620726
0.9247637046183613,0.011368250101502234,0.2871362940275651
0.9247051489552267,0.011368250101502234,0.28764675855028077
0.9231324629831422,0.011368250101502234,0.2884124553343543
0.923112586822806,0.011368250101502234,0.2889229198570699
0.9229775741993741,0.011368250101502234,0.2891781521184278
0.921651834584101,0.012789281364190013,0.3108728943338438
0.9215015541827576,0.014007308160779537,0.3315467075038285
0.9211591514899858,0.014007308160779537,0.3325676365492598
0.920613394918884,0.014007308160779537,0.3333333333333333
0.9202677692461118,0.014007308160779537,0.3343542623787647
0.9201291280100753,0.015225334957369063,0.3565594691168964
0.919024501048184,0.015225334957369063,0.35706993363961204
0.9190157705867108,0.015225334957369063,0.35860132720775906
0.9187328558509379,0.015225334957369063,0.3603879530372639
0.9186561095066894,0.015225334957369063,0.36064318529862177
0.9179507663292595,0.015225334957369063,0.3619193466054109
